id;name;additional_info;status;start;ends
1;eek;glisten yippee;ACTIVE;2025-10-05T12:57:19;2025-10-06T03:39:43
2;lively;boggle toward so;REGISTRATION_CLOSED;2025-10-05T21:43:50;2025-10-06T00:06:32
3;pushy vice boastfully;infatuated;INACTIVE;2025-10-06T08:32:45;2025-10-06T11:46:58
4;while ha unaccountably;pillow unnecessarily;ACTIVE;2025-10-05T19:13:46;2025-10-06T06:46:53
5;clamor successfully aw;petty;REGISTRATION_CLOSED;2025-10-06T09:41:36;2025-10-06T05:23:17
6;suspiciously firm regarding;apropos ugh;REGISTRATION_CLOSED;2025-10-05T21:51:49;2025-10-05T15:24:55
7;chromakey;decent pish;INACTIVE;2025-10-05T21:49:42;2025-10-06T04:51:04
8;gah ugh;practical;INACTIVE;2025-10-06T11:22:21;2025-10-05T20:50:36
9;even pfft;record;REGISTRATION_CLOSED;2025-10-06T09:52:51;2025-10-05T15:30:42
10;among excluding gigantic;after of that;REGISTRATION_CLOSED;2025-10-06T02:10:49;2025-10-06T05:19:30
