id;name;additional_info;status;start;ends
1;into;tepid carefully;ACTIVE;2025-10-06T10:07:11;2025-10-06T06:35:33
2;brightly excluding hm;celebrate excepting miserably;REGISTRATION_CLOSED;2025-10-05T23:08:31;2025-10-06T07:35:05
3;than frantically that;whereas;REGISTRATION_CLOSED;2025-10-06T01:12:57;2025-10-06T05:09:48
4;making on among;carefree expansion;ACTIVE;2025-10-06T03:12:53;2025-10-06T04:32:25
5;if ugh chiffonier;silently verbally ick;ACTIVE;2025-10-06T11:26:50;2025-10-05T20:47:00
6;cease until grouper;equal apologise from;REGISTRATION_CLOSED;2025-10-06T00:00:58;2025-10-05T18:39:23
7;plus skyline emboss;dreary;ACTIVE;2025-10-05T14:09:42;2025-10-05T23:05:44
8;awkwardly;guest toward;REGISTRATION_CLOSED;2025-10-06T06:11:33;2025-10-05T16:02:01
9;language fireplace ick;about than;INACTIVE;2025-10-05T13:30:16;2025-10-06T01:28:17
10;from kissingly;rarely resolve fairly;ACTIVE;2025-10-06T07:22:58;2025-10-06T11:43:56
